Policy,Kind,Threshold,Success_FA,Failure_Det,Det@10,Det@25,Det@50,Mean_Query_Time,Mean_Timestep_Time,Never,False_Alarms,Detected_Failures
q95_mass_3,q95_mass,3.0,0.7785234899328859,1.0,0.45161290322580644,0.967741935483871,0.967741935483871,0.1233467741935484,0.12224958617626873,0.0,116,31
q95_mass_5,q95_mass,5.0,0.6308724832214765,1.0,0.22580645161290322,0.967741935483871,0.967741935483871,0.1337096774193548,0.1326254592434091,0.0,94,31
q95_mass_7.5,q95_mass,7.5,0.4697986577181208,1.0,0.16129032258064516,0.967741935483871,0.967741935483871,0.1431451612903226,0.14207275223061086,0.0,70,31
q95_mass_10,q95_mass,10.0,0.348993288590604,1.0,0.12903225806451613,0.9354838709677419,0.967741935483871,0.1568951612903226,0.15583996124187496,0.0,52,31
q95_mass_15,q95_mass,15.0,0.2348993288590604,0.967741935483871,0.0967741935483871,0.9032258064516129,0.967741935483871,0.14825,0.14718397997496874,0.032258064516129004,35,30
q95_mass_20,q95_mass,20.0,0.2080536912751678,0.967741935483871,0.03225806451612903,0.9032258064516129,0.967741935483871,0.16624999999999998,0.16520650813516893,0.032258064516129004,31,30
q95_mass_30,q95_mass,30.0,0.174496644295302,0.967741935483871,0.0,0.9032258064516129,0.967741935483871,0.20233333333333337,0.2013350020859407,0.032258064516129004,26,30
q95_mass_50,q95_mass,50.0,0.026845637583892617,0.967741935483871,0.0,0.16129032258064516,0.9032258064516129,0.2882083333333334,0.2873174801835628,0.032258064516129004,4,30
q95_mass_75,q95_mass,75.0,0.026845637583892617,0.967741935483871,0.0,0.0,0.8387096774193549,0.3987083333333333,0.39795577805590315,0.032258064516129004,4,30
q95_mass_100,q95_mass,100.0,0.020134228187919462,0.9354838709677419,0.0,0.0,0.7419354838709677,0.47771551724137934,0.4770618445470632,0.06451612903225812,3,29
q99_mass_0.05,q99_mass,0.05,0.5906040268456376,1.0,0.25806451612903225,0.9032258064516129,0.967741935483871,0.14762096774193548,0.1465541604424886,0.0,88,31
q99_mass_0.1,q99_mass,0.1,0.5570469798657718,1.0,0.1935483870967742,0.9032258064516129,0.967741935483871,0.15092741935483875,0.14986475029270457,0.0,83,31
q99_mass_0.15,q99_mass,0.15,0.5234899328859061,1.0,0.1935483870967742,0.9032258064516129,0.967741935483871,0.1539516129032258,0.15289272881424357,0.0,78,31
q99_mass_0.2,q99_mass,0.2,0.4697986577181208,1.0,0.12903225806451613,0.9032258064516129,0.967741935483871,0.157258064516129,0.1562033186644596,0.0,70,31
q99_mass_0.3,q99_mass,0.3,0.3959731543624161,0.967741935483871,0.0967741935483871,0.9032258064516129,0.9354838709677419,0.15850000000000003,0.15744680851063828,0.032258064516129004,59,30
q99_mass_0.5,q99_mass,0.5,0.28859060402684567,0.9354838709677419,0.0967741935483871,0.9032258064516129,0.9354838709677419,0.1401293103448276,0.13905312675326917,0.06451612903225812,43,29
q99_mass_0.75,q99_mass,0.75,0.24161073825503357,0.9354838709677419,0.0967741935483871,0.9032258064516129,0.9354838709677419,0.1530603448275862,0.15200034525916017,0.06451612903225812,36,29
q99_mass_1,q99_mass,1.0,0.2080536912751678,0.9354838709677419,0.06451612903225806,0.9032258064516129,0.9032258064516129,0.1706896551724138,0.16965171982219157,0.06451612903225812,31,29
q99_mass_1.5,q99_mass,1.5,0.15436241610738255,0.9354838709677419,0.0,0.8387096774193549,0.8709677419354839,0.2232758620689655,0.22230374174614823,0.06451612903225812,23,29
q99_mass_2,q99_mass,2.0,0.040268456375838924,0.9354838709677419,0.0,0.7419354838709677,0.8709677419354839,0.24969827586206897,0.24875922489318542,0.06451612903225812,6,29
q99_mass_3,q99_mass,3.0,0.026845637583892617,0.8709677419354839,0.0,0.41935483870967744,0.8387096774193549,0.2866666666666667,0.2857738840216938,0.12903225806451613,4,27
q99_mass_5,q99_mass,5.0,0.020134228187919462,0.8709677419354839,0.0,0.03225806451612903,0.7096774193548387,0.41634259259259254,0.4156121077272516,0.12903225806451613,3,27
