rank,name,mode,model,objective,best_epoch,success_test_seen_or_q95_K3_fa,success_test_ood_or_q95_K3_fa,failure_test_seen_or_q95_K3_det,failure_test_seen_or_q95_K3_det25,failure_eval_ood_or_q95_K3_det,failure_eval_ood_or_q95_K3_det25,failure_eval_ood_or_q95_K3_mean_time,success_test_ood_score_q95_K3_fa,failure_eval_ood_score_q95_K3_det25,success_test_seen_score_q99_K3_fa,success_test_ood_score_q99_K3_fa,failure_eval_ood_score_q99_K3_det,success_test_seen_hardstop_q99_K3_fa,success_test_ood_hardstop_q99_K3_fa,failure_eval_ood_hardstop_q99_K3_det,failure_eval_ood_hardstop_q99_K3_det25
28,v2_037_groupdro_target_tcn_k8,supervised,seq_tcn,1.3447402833812567,8,0.44421906693711966,0.510989010989011,1.0,0.9,1.0,0.6666666666666666,0.1865740740740741,0.3373626373626374,0.6527777777777778,0.038539553752535496,0.2153846153846154,0.8888888888888888,,,,
29,v2_025_tcn_k8_flat_action_static,supervised,seq_tcn,1.3425738111336487,7,0.4259634888438134,0.5,1.0,0.9,1.0,0.6527777777777778,0.1999074074074074,0.3252747252747253,0.625,0.04665314401622718,0.21428571428571427,0.875,,,,
30,v2_032_tcn_k8_label_smooth,supervised,seq_tcn,1.3424478721638964,7,0.43610547667342797,0.4967032967032967,1.0,0.8666666666666667,1.0,0.6527777777777778,0.18425925925925923,0.3241758241758242,0.6388888888888888,0.030425963488843813,0.2043956043956044,0.8888888888888888,,,,
31,v2_024_tcn_k8_first_action_static,supervised,seq_tcn,1.3345762531360907,5,0.4259634888438134,0.4868131868131868,1.0,0.8333333333333334,1.0,0.6388888888888888,0.2162037037037037,0.310989010989011,0.6111111111111112,0.030425963488843813,0.2175824175824176,0.75,,,,
32,v2_029_tcn_k8_highdrop,supervised,seq_tcn,1.3320319639792257,5,0.4381338742393509,0.46593406593406594,1.0,0.8083333333333333,0.9722222222222222,0.6388888888888888,0.20533333333333328,0.2868131868131868,0.6111111111111112,0.05273833671399594,0.22417582417582418,0.875,,,,
33,v2_015_gru_k16,supervised,seq_gru,1.3290954931928565,2,0.42190669371196754,0.43626373626373627,1.0,0.825,0.9722222222222222,0.6111111111111112,0.21999999999999992,0.14505494505494507,0.5833333333333334,0.04056795131845842,0.051648351648351645,0.7916666666666666,,,,
34,v2_043_dynamics_survival_tcn_k8,supervised,seq_tcn,1.3161925070647178,7,0.4462474645030426,0.49230769230769234,1.0,0.8833333333333333,1.0,0.6388888888888888,0.2001388888888889,0.31978021978021975,0.6111111111111112,0.04259634888438134,0.13626373626373625,0.9583333333333334,0.016227180527383367,0.11758241758241758,0.875,0.2777777777777778
35,v2_008_tcn_k24_long,supervised,seq_tcn,1.3113634843857966,4,0.4300202839756592,0.4824175824175824,1.0,0.8166666666666667,1.0,0.625,0.20652777777777775,0.2967032967032967,0.6111111111111112,0.034482758620689655,0.21318681318681318,0.8472222222222222,,,,
36,v2_004_tcn_k6_midshort,supervised,seq_tcn,1.3056583376055992,6,0.4381338742393509,0.4835164835164835,1.0,0.825,1.0,0.625,0.19865740740740742,0.3076923076923077,0.6111111111111112,0.04462474645030426,0.1989010989010989,0.875,,,,
37,v2_023_tcn_k8_history_only,supervised,seq_tcn,1.3003431434465917,8,0.4482758620689655,0.5021978021978022,0.9916666666666667,0.8166666666666667,0.9722222222222222,0.6527777777777778,0.21861904761904763,0.33186813186813185,0.5972222222222222,0.04056795131845842,0.2175824175824176,0.8333333333333334,,,,
38,v2_005_tcn_k8_idea41,supervised,seq_tcn,1.2998250228473351,5,0.4300202839756592,0.4901098901098901,1.0,0.8416666666666667,1.0,0.625,0.19212962962962962,0.3208791208791209,0.6111111111111112,0.034482758620689655,0.22967032967032966,0.9166666666666666,,,,
39,v2_020_tcn_k8_no_current_ace,supervised,seq_tcn,1.295778134419108,9,0.44421906693711966,0.5065934065934066,1.0,0.9166666666666666,1.0,0.6388888888888888,0.18921296296296294,0.3395604395604396,0.6111111111111112,0.04259634888438134,0.25384615384615383,0.9027777777777778,,,,
40,v2_018_transformer_k16,supervised,seq_transformer,1.2885208548494556,1,0.4239350912778905,0.46263736263736266,1.0,0.8,1.0,0.5972222222222222,0.2359259259259259,0.26373626373626374,0.5833333333333334,0.04462474645030426,0.04945054945054945,0.8472222222222222,,,,
41,v2_002_tcn_k2_short,supervised,seq_tcn,1.2773921593394209,9,0.4381338742393509,0.5208791208791209,1.0,0.8833333333333333,1.0,0.6388888888888888,0.21078703703703702,0.34835164835164834,0.6111111111111112,0.05070993914807302,0.14835164835164835,0.875,,,,
42,v2_009_tcn_k32_verylong,supervised,seq_tcn,1.2643618101528855,6,0.4279918864097363,0.46813186813186813,1.0,0.8416666666666667,0.9583333333333334,0.6111111111111112,0.2160869565217391,0.26703296703296703,0.5555555555555556,0.032454361054766734,0.21428571428571427,0.7638888888888888,,,,
43,v2_001_tcn_k1_baseline,supervised,seq_tcn,1.2548135434545171,7,0.44421906693711966,0.5153846153846153,1.0,0.8833333333333333,1.0,0.625,0.21356481481481485,0.34835164835164834,0.5972222222222222,0.04462474645030426,0.12307692307692308,0.875,,,,
44,v2_026_tcn_k8_seqstats_static,supervised,seq_tcn,1.2504248118345482,5,0.4421906693711968,0.4912087912087912,1.0,0.8583333333333333,0.9861111111111112,0.6111111111111112,0.21061032863849763,0.31868131868131866,0.5833333333333334,0.04259634888438134,0.2076923076923077,0.875,,,,
