policy,family,success_seen_episodes,success_ood_episodes,failure_ood_episodes,success_seen_fa,success_ood_fa,failure_detection,failure_det_at_10,failure_det_at_25,failure_det_at_50,failure_mean_time,failure_never,objective
q99_consec_K2,baseline_consecutive,136,211,42,0.04411764705882353,0.009478672985781991,0.5952380952380952,0.0,0.0,0.38095238095238093,0.4824,0.40476190476190477,1.6223474159331979
q99_consec_K3,baseline_consecutive,136,211,42,0.03676470588235294,0.009478672985781991,0.5714285714285714,0.0,0.0,0.35714285714285715,0.49902777777777785,0.4285714285714286,1.53485713815542
q99_consec_K5,baseline_consecutive,136,211,42,0.022058823529411766,0.009478672985781991,0.47619047619047616,0.0,0.0,0.2619047619047619,0.517,0.5238095238095238,1.1970307492665313
q99_consec_K10,baseline_consecutive,136,211,42,0.014705882352941176,0.004739336492890996,0.42857142857142855,0.0,0.0,0.14285714285714285,0.5716666666666667,0.5714285714285714,0.9190332317761226
q99_consec_K15,baseline_consecutive,136,211,42,0.014705882352941176,0.004739336492890996,0.38095238095238093,0.0,0.0,0.11904761904761904,0.6210416666666666,0.6190476190476191,0.7757371008237418
q99_consec_K20,baseline_consecutive,136,211,42,0.014705882352941176,0.004739336492890996,0.35714285714285715,0.0,0.0,0.07142857142857142,0.6384444444444445,0.6428571428571428,0.6523387873316783
q99_consec_K30,baseline_consecutive,136,211,42,0.0,0.004739336492890996,0.2857142857142857,0.0,0.0,0.023809523809523808,0.6133333333333333,0.7142857142857143,0.4443308508237418
q99_count_5,manual_count,136,211,42,0.04411764705882353,0.009478672985781991,0.5714285714285714,0.0,0.0,0.30952380952380953,0.5123611111111112,0.4285714285714286,1.4600952333935155
q99_count_10,manual_count,136,211,42,0.029411764705882353,0.009478672985781991,0.5238095238095238,0.0,0.0,0.2857142857142857,0.5603030303030303,0.47619047619047616,1.3171573726431547
q99_count_15,manual_count,136,211,42,0.022058823529411766,0.009478672985781991,0.4523809523809524,0.0,0.0,0.19047619047619047,0.5738596491228071,0.5476190476190477,1.0280539322239248
q99_count_20,manual_count,136,211,42,0.014705882352941176,0.004739336492890996,0.42857142857142855,0.0,0.0,0.19047619047619047,0.5711111111111111,0.5714285714285714,0.9906006920935829
q99_count_30,manual_count,136,211,42,0.014705882352941176,0.004739336492890996,0.38095238095238093,0.0,0.0,0.07142857142857142,0.6129166666666667,0.6190476190476191,0.7063397793951703
q99_count_40,manual_count,136,211,42,0.007352941176470588,0.004739336492890996,0.35714285714285715,0.0,0.0,0.047619047619047616,0.6282222222222221,0.6428571428571428,0.6191800571729482
q99_count_60,manual_count,136,211,42,0.007352941176470588,0.004739336492890996,0.30952380952380953,0.0,0.0,0.023809523809523808,0.6717948717948717,0.6904761904761905,0.4773345138274049
q99_count_80,manual_count,136,211,42,0.0,0.004739336492890996,0.30952380952380953,0.0,0.0,0.0,0.7466666666666668,0.6904761904761905,0.4229022793951704
q99_mass_1,manual_mass,136,211,42,0.0,0.004739336492890996,0.23809523809523808,0.0,0.0,0.0,0.703,0.7619047619047619,0.2909618032046942
q99_mass_2,manual_mass,136,211,42,0.0,0.0,0.11904761904761904,0.0,0.0,0.0,0.8706666666666665,0.8809523809523809,0.020428571428571463
q99_mass_3,manual_mass,136,211,42,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,-0.25
q99_mass_5,manual_mass,136,211,42,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,-0.25
q99_mass_8,manual_mass,136,211,42,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,-0.25
q99_mass_10,manual_mass,136,211,42,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,-0.25
q99_mass_15,manual_mass,136,211,42,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,-0.25
q99_mass_20,manual_mass,136,211,42,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,-0.25
q99_mass_30,manual_mass,136,211,42,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,-0.25
q99_mass_40,manual_mass,136,211,42,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,-0.25
q95_count_conformal_alpha0p05,split_conformal_count,136,211,42,0.08088235294117647,0.07109004739336493,0.8571428571428571,0.0,0.0,0.5,0.5226851851851851,0.1428571428571429,2.1914343232026883
q95_count_conformal_alpha0p1,split_conformal_count,136,211,42,0.125,0.22274881516587677,0.9285714285714286,0.0,0.11904761904761904,0.7142857142857143,0.4252136752136752,0.0714285714285714,2.5255799032457804
q95_count_conformal_alpha0p15,split_conformal_count,136,211,42,0.16176470588235295,0.26066350710900477,0.9761904761904762,0.0,0.2619047619047619,0.8809523809523809,0.33,0.023809523809523836,2.997363461972467
q95_count_conformal_alpha0p2,split_conformal_count,136,211,42,0.16176470588235295,0.26066350710900477,0.9761904761904762,0.0,0.2619047619047619,0.8809523809523809,0.33,0.023809523809523836,2.997363461972467
q95_count_epq90,episode_calibrated_count,136,211,42,0.125,0.22274881516587677,0.9285714285714286,0.0,0.11904761904761904,0.7142857142857143,0.41658119658119647,0.0714285714285714,2.5277380229039
q95_count_epq95,episode_calibrated_count,136,211,42,0.08823529411764706,0.11374407582938388,0.8571428571428571,0.0,0.0,0.5476190476190477,0.4629629629629629,0.1428571428571429,2.1924853933147768
q95_mass_conformal_alpha0p05,split_conformal_mass,136,211,42,0.08823529411764706,0.08530805687203792,0.8333333333333334,0.0,0.0,0.5476190476190477,0.4807619047619048,0.16666666666666663,2.197288648160686
q95_mass_conformal_alpha0p1,split_conformal_mass,136,211,42,0.125,0.1943127962085308,0.9047619047619048,0.0,0.11904761904761904,0.6904761904761905,0.4107894736842105,0.09523809523809523,2.5027246582095044
q95_mass_conformal_alpha0p15,split_conformal_mass,136,211,42,0.15441176470588236,0.2559241706161137,0.9523809523809523,0.0,0.2619047619047619,0.8571428571428571,0.33225,0.04761904761904767,2.9229463016249153
q95_mass_conformal_alpha0p2,split_conformal_mass,136,211,42,0.16176470588235295,0.26066350710900477,0.9761904761904762,0.0,0.2619047619047619,0.8809523809523809,0.33,0.023809523809523836,2.997363461972467
q95_mass_epq90,episode_calibrated_mass,136,211,42,0.1323529411764706,0.22274881516587677,0.9285714285714286,0.0,0.14285714285714285,0.7619047619047619,0.3998290598290598,0.0714285714285714,2.63311653328241
q95_mass_epq95,episode_calibrated_mass,136,211,42,0.09558823529411764,0.11848341232227488,0.8571428571428571,0.0,0.023809523809523808,0.5714285714285714,0.4652777777777778,0.1428571428571429,2.2479042071014814
q95_maxrun_conformal_alpha0p05,split_conformal_maxrun,136,211,42,0.09558823529411764,0.15165876777251186,0.8333333333333334,0.0,0.047619047619047616,0.6190476190476191,0.4301904761904762,0.16666666666666663,2.2438967501692617
q95_maxrun_conformal_alpha0p1,split_conformal_maxrun,136,211,42,0.125,0.2132701421800948,0.8333333333333334,0.0,0.11904761904761904,0.6428571428571429,0.3793333333333333,0.16666666666666663,2.258388287068382
q95_maxrun_conformal_alpha0p15,split_conformal_maxrun,136,211,42,0.16176470588235295,0.26066350710900477,0.9761904761904762,0.0,0.2619047619047619,0.8809523809523809,0.33,0.023809523809523836,2.997363461972467
q95_maxrun_conformal_alpha0p2,split_conformal_maxrun,136,211,42,0.16176470588235295,0.26066350710900477,0.9761904761904762,0.0,0.2619047619047619,0.8809523809523809,0.33,0.023809523809523836,2.997363461972467
q95_maxrun_epq90,episode_calibrated_maxrun,136,211,42,0.125,0.21800947867298578,0.8333333333333334,0.0,0.11904761904761904,0.6904761904761905,0.3704761904761905,0.16666666666666663,2.322552471225457
q95_maxrun_epq95,episode_calibrated_maxrun,136,211,42,0.09558823529411764,0.15165876777251186,0.8333333333333334,0.0,0.047619047619047616,0.6190476190476191,0.4301904761904762,0.16666666666666663,2.2438967501692617
q99_count_conformal_alpha0p05,split_conformal_count,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_count_conformal_alpha0p1,split_conformal_count,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_count_conformal_alpha0p15,split_conformal_count,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
q99_count_conformal_alpha0p2,split_conformal_count,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
