variant,episode_id,decision_index,main_risk,best_alt_risk,best_alt_index,selected_candidate_index,intervention,final_episode_success,threshold_a,threshold_c,threshold_m,main_alarm,best_alt_below_cap,risk_margin_main_minus_best
c090_primary,000001,2,0.15738855302333832,0.15392006933689117,2,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.0034684836864471436
c090_primary,000001,3,0.049644459038972855,0.04988909885287285,2,0,False,False,0.8792325258255005,0.9,0.0,False,True,-0.0002446398138999939
c090_primary,000001,4,0.03135937079787254,0.030276115983724594,4,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.0010832548141479492
c090_primary,000001,5,0.02382829412817955,0.02289361134171486,8,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.0009346827864646912
c090_primary,000001,6,0.014361430890858173,0.013962706550955772,8,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.00039872433990240097
c090_primary,000001,7,0.015922462567687035,0.016010042279958725,3,0,False,False,0.8792325258255005,0.9,0.0,False,True,-8.757971227169037e-05
c090_primary,000001,8,0.03535430133342743,0.033862724900245667,4,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.0014915764331817627
c090_primary,000001,9,0.07699347287416458,0.07317618280649185,4,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.0038172900676727295
c090_primary,000001,10,0.07047554850578308,0.06513060629367828,8,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.005344942212104797
c090_primary,000001,11,0.020791878923773766,0.020627832040190697,8,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.00016404688358306885
c090_primary,000001,12,0.023334436118602753,0.022375641390681267,1,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.0009587947279214859
c090_primary,000001,13,0.018654467537999153,0.018907494843006134,7,0,False,False,0.8792325258255005,0.9,0.0,False,True,-0.0002530273050069809
c090_primary,000001,14,0.029512176290154457,0.028229016810655594,5,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.0012831594794988632
c090_primary,000001,15,0.03631102666258812,0.035697415471076965,6,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.0006136111915111542
c090_primary,000001,16,0.05753873288631439,0.05504869297146797,5,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.0024900399148464203
c090_primary,000001,17,0.06418576091527939,0.06637541949748993,1,0,False,False,0.8792325258255005,0.9,0.0,False,True,-0.0021896585822105408
c090_primary,000001,18,0.0932682529091835,0.0908968523144722,2,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.0023714005947113037
c090_primary,000001,19,0.26457181572914124,0.2614479660987854,8,0,False,False,0.8792325258255005,0.9,0.0,False,True,0.003123849630355835
c090_primary,000001,20,0.9162322878837585,0.9139953255653381,3,0,False,False,0.8792325258255005,0.9,0.0,True,False,0.00223696231842041
c090_primary,000001,21,0.9956955909729004,0.9956592321395874,5,0,False,False,0.8792325258255005,0.9,0.0,True,False,3.635883331298828e-05
c090_primary,000001,22,0.999055802822113,0.9990507960319519,3,0,False,False,0.8792325258255005,0.9,0.0,True,False,5.0067901611328125e-06
c090_primary,000001,23,0.9993435740470886,0.9993146657943726,4,0,False,False,0.8792325258255005,0.9,0.0,True,False,2.8908252716064453e-05
c090_primary,000001,24,0.9991758465766907,0.9991713762283325,4,0,False,False,0.8792325258255005,0.9,0.0,True,False,4.470348358154297e-06
c090_primary,000001,25,0.9991012811660767,0.9990561604499817,8,0,False,False,0.8792325258255005,0.9,0.0,True,False,4.51207160949707e-05
c090_primary,000001,26,0.9991105198860168,0.9990666508674622,4,0,False,False,0.8792325258255005,0.9,0.0,True,False,4.38690185546875e-05
c090_primary,000001,27,0.9993612170219421,0.9993246793746948,4,0,False,False,0.8792325258255005,0.9,0.0,True,False,3.653764724731445e-05
c090_primary,000001,28,0.9991872906684875,0.9991486072540283,6,0,False,False,0.8792325258255005,0.9,0.0,True,False,3.8683414459228516e-05
c090_primary,000001,29,0.9991051554679871,0.9990732669830322,1,0,False,False,0.8792325258255005,0.9,0.0,True,False,3.1888484954833984e-05
c090_primary,000001,30,0.9991713762283325,0.9991501569747925,7,0,False,False,0.8792325258255005,0.9,0.0,True,False,2.1219253540039062e-05
