variant,experiment_id,episode_id,success,outcome,minimum_tcp_distance_m,control_ticks,simulation_steps,decision_rows,scene_fingerprint
historical_ood150_baseline,EXP-014,000228,True,SUCCESS,0.007305805571377277,188,750,19,45ad2d02e7956a7c045a6a66f0a50252560ca24d36d91d8305a4db24d2e0ac30
historical_ood150_baseline,EXP-014,000232,False,FAILURE,0.02461906149983406,600,2400,60,1123af0a8f7d692b5d7813a7830c18d37176711be439d3bad7e63f5981030726
historical_ood150_baseline,EXP-014,000235,False,FAILURE,0.08224106580018997,600,2400,60,4dd48cf4c9bafeef415f010a9899dfca01328c5d99f4d0cff72521d6d7bde092
historical_ood150_baseline,EXP-014,000251,True,SUCCESS,0.01507573202252388,167,665,17,e5cfe67e9060b4ea3c4b56751f5ec4e4d54d81b892ccdd9101d2065c9476a5c6
historical_ood150_baseline,EXP-014,000254,False,FAILURE,0.29469558596611023,600,2400,60,da9e2aa81815d47468d8d06030aebe6bf11a2e448a36ea8c395bf7b644b459e0
historical_ood150_baseline,EXP-014,000265,True,SUCCESS,0.002681216923519969,172,685,18,fc444bb80828373e89b57178e1acd7d9293dd7d22022765ba6e0bf79f0953701
historical_ood150_baseline,EXP-014,000266,True,SUCCESS,0.00460361922159791,154,614,16,162b49bd1b07261ff82ff03c10d2b9fb358cb29af1fbc0dfa35e9024df973cd7
historical_ood150_baseline,EXP-014,000271,False,FAILURE,0.2344033569097519,600,2400,60,e9c5e3bb4fcbaf606fdd5cd8a4b70a0419e6dc8f87a3c5720a5e2ff1d187eb05
historical_ood150_baseline,EXP-014,000275,True,SUCCESS,0.009229463525116444,143,569,15,27753f34e3c6379cb12899b117f30c8a287f91742def84824315e0b3b298368e
historical_ood150_baseline,EXP-014,000279,False,FAILURE,0.04526963084936142,600,2400,60,4ec10d5814b07f6189474f459069f34ea8eaa978d92ecb1d73c2ae195330e4dc
historical_ood150_baseline,EXP-014,000283,False,FAILURE,0.3883708119392395,600,2400,60,f1c418b3e7894979abfd5668ce4e4f52f853cec44e83ca37606ba1bbfa8b0fe2
historical_ood150_baseline,EXP-014,000284,False,FAILURE,0.02159425988793373,600,2400,60,64dc6a7f961d3dce298f4926dbf50c2f1e7fdea980755e61017b7279d1caf8c3
historical_ood150_baseline,EXP-014,000299,False,FAILURE,0.4003046452999115,600,2400,60,5badb2db98b6cc9fa49aa5b436bbf2f1a29bae3ddf0be71fcd0f888751701f5d
historical_ood150_baseline,EXP-014,000309,True,SUCCESS,0.016100384294986725,216,863,22,9c5d5e26dd48daf7d33159ca3b95e61d489ffdcd60b2dd95130edba0103f3ef0
historical_ood150_baseline,EXP-014,000322,True,SUCCESS,0.007197460159659386,100,398,10,a9e1a7ba28ba71f20d764ceda70895edf424554a5cfac659df5a8e2e9928bfdd
historical_ood150_baseline,EXP-014,000325,True,SUCCESS,0.0035322087351232767,196,781,20,8a2013c4abaa428ce5cd4995fa408724618aca9b2db612c463b1ae544b8b7d39
historical_ood150_baseline,EXP-014,000337,False,FAILURE,0.40502652525901794,600,2400,60,17ffec34d01b3be0843aa07cbcb0d8b36dddf702d7ebe67eb51b4ac976100f29
historical_ood150_baseline,EXP-014,000352,False,FAILURE,0.054122764617204666,600,2400,60,d6d68b1ac102735ceb9c80ae813a30daaa4fd3a0c83de17dbe5582c304db43b8
historical_ood150_baseline,EXP-014,000364,True,SUCCESS,0.006830327678471804,171,684,18,aef39ef70fd4cb5aee2ed3f01bda007b7590d9f2cd911f77905a5611dd505e6b
historical_ood150_baseline,EXP-014,000431,False,FAILURE,0.2680259346961975,600,2400,60,c0c707a0591d9caa314213c457a2eec204c2a7bb8d3c3379157fc68035043b74
historical_ood150_baseline,EXP-014,000433,False,FAILURE,0.40307608246803284,600,2400,60,e80954307f3df45cd1e6727f392aa96f801aa9b168951a65a01c7f2e8352b3f8
historical_ood150_baseline,EXP-014,000522,True,SUCCESS,0.017075704410672188,157,626,16,d7725fcac4ab05804b7189734ed812852dbcf01b7bc1bfedecee7bc57f7d803a
historical_ood150_baseline,EXP-014,000589,False,FAILURE,0.10337192565202713,600,2400,60,e61e7350ef49e9fe677636a53ac6eb7542c22c70e1fe0890c583d08f84e26d8d
