variant,experiment_id,episode_id,benchmark_episode_id,success,outcome,minimum_tcp_distance_m,control_ticks,simulation_steps,decision_rows,scene_fingerprint,intervention_count,baseline_success,paired_category_vs_baseline,paired_category_vs_other_controller
c090_primary,EXP-009,000015,15,True,SUCCESS,0.029911227524280548,164,653,17,8a312c7c0fbf0f9d7c0954429d0158e594cabf60d32d2bcad1af3dab225f383c,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000015,15,True,SUCCESS,0.02979586273431778,163,651,17,8a312c7c0fbf0f9d7c0954429d0158e594cabf60d32d2bcad1af3dab225f383c,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000016,16,False,FAILURE,0.0411209799349308,350,1400,35,a21ddbdfe9d0d3bb0d0d5deabb6c19ceb6208d5f0256b5292e1954f4e6a5615b,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000016,16,False,FAILURE,0.038742613047361374,350,1400,35,a21ddbdfe9d0d3bb0d0d5deabb6c19ceb6208d5f0256b5292e1954f4e6a5615b,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000016,16,False,FAILURE,0.043110016733407974,350,1400,35,a21ddbdfe9d0d3bb0d0d5deabb6c19ceb6208d5f0256b5292e1954f4e6a5615b,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000017,17,True,SUCCESS,0.029260117560625076,176,702,18,6de5b187c1c6a493d4812cf126b2ccbb279307f3678b5e61ea9af7543e47577c,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000017,17,True,SUCCESS,0.02941695787012577,176,703,18,6de5b187c1c6a493d4812cf126b2ccbb279307f3678b5e61ea9af7543e47577c,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000017,17,True,SUCCESS,0.02935759164392948,176,703,18,6de5b187c1c6a493d4812cf126b2ccbb279307f3678b5e61ea9af7543e47577c,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000018,18,True,SUCCESS,0.029818737879395485,148,592,15,20972948559bdd58658b6bc0b267b5f7ba4f7bc94e99dcd2efecd7fa6a0dba6c,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000018,18,True,SUCCESS,0.029823005199432373,148,592,15,20972948559bdd58658b6bc0b267b5f7ba4f7bc94e99dcd2efecd7fa6a0dba6c,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000018,18,True,SUCCESS,0.029735440388321877,149,595,15,20972948559bdd58658b6bc0b267b5f7ba4f7bc94e99dcd2efecd7fa6a0dba6c,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000019,19,True,SUCCESS,0.029915831983089447,181,723,19,ac25c34f8855e54e6adbc9c47333a1b7b7e53c2f1c8a7019dd74ccf0a3eff977,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000019,19,True,SUCCESS,0.02980605699121952,181,722,19,ac25c34f8855e54e6adbc9c47333a1b7b7e53c2f1c8a7019dd74ccf0a3eff977,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000019,19,True,SUCCESS,0.02911873534321785,182,725,19,ac25c34f8855e54e6adbc9c47333a1b7b7e53c2f1c8a7019dd74ccf0a3eff977,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000020,20,False,FAILURE,0.34455302357673645,350,1400,35,56b1b73ebb18e5485adaf14f9a84a5679ee7721bb4da0250d2dd98528f8154c1,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000020,20,True,SUCCESS,0.029985180124640465,176,704,18,56b1b73ebb18e5485adaf14f9a84a5679ee7721bb4da0250d2dd98528f8154c1,0,False,F_TO_S_RESCUE,C090_ONLY_SUCCEEDS
q95_symmetric,EXP-010,000020,20,False,FAILURE,0.34270575642585754,350,1400,35,56b1b73ebb18e5485adaf14f9a84a5679ee7721bb4da0250d2dd98528f8154c1,0,False,F_TO_F,C090_ONLY_SUCCEEDS
baseline,EXP-008,000021,21,False,FAILURE,0.03231371194124222,350,1400,35,3c401bdd11099737697caa76172e59e5543a27f280a6ba14f557277c64b8ef7c,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000021,21,True,SUCCESS,0.029821190983057022,132,526,14,3c401bdd11099737697caa76172e59e5543a27f280a6ba14f557277c64b8ef7c,0,False,F_TO_S_RESCUE,C090_ONLY_SUCCEEDS
q95_symmetric,EXP-010,000021,21,False,FAILURE,0.03008151426911354,350,1400,35,3c401bdd11099737697caa76172e59e5543a27f280a6ba14f557277c64b8ef7c,0,False,F_TO_F,C090_ONLY_SUCCEEDS
baseline,EXP-008,000022,22,True,SUCCESS,0.02933272160589695,158,631,16,b6e88ba9dd054770f02e40a39eb243ba4d17caecd2c2a949b388bb0d22e2028b,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000022,22,True,SUCCESS,0.029278907924890518,158,630,16,b6e88ba9dd054770f02e40a39eb243ba4d17caecd2c2a949b388bb0d22e2028b,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000022,22,True,SUCCESS,0.029341556131839752,158,629,16,b6e88ba9dd054770f02e40a39eb243ba4d17caecd2c2a949b388bb0d22e2028b,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000023,23,True,SUCCESS,0.02997947484254837,127,505,13,7d95e3b5ecaa9a67162a5a9514b01c5de5798ce7e71733a3df4170e44f5b37ac,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000023,23,True,SUCCESS,0.02985585294663906,127,505,13,7d95e3b5ecaa9a67162a5a9514b01c5de5798ce7e71733a3df4170e44f5b37ac,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000023,23,True,SUCCESS,0.02985539846122265,126,504,13,7d95e3b5ecaa9a67162a5a9514b01c5de5798ce7e71733a3df4170e44f5b37ac,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000024,24,False,FAILURE,0.3267878293991089,350,1400,35,b742aeb3739403a3d823b5321c538d4547f13ab3a46bf82be9c5614f384324a5,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000024,24,False,FAILURE,0.32656264305114746,350,1400,35,b742aeb3739403a3d823b5321c538d4547f13ab3a46bf82be9c5614f384324a5,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000024,24,False,FAILURE,0.3262985944747925,350,1400,35,b742aeb3739403a3d823b5321c538d4547f13ab3a46bf82be9c5614f384324a5,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000025,25,True,SUCCESS,0.029317563399672508,175,697,18,05226fefa210977e9886da841bb46e60c5b12587dc49805e049a8a968889d3d5,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000025,25,True,SUCCESS,0.029944276437163353,171,681,18,05226fefa210977e9886da841bb46e60c5b12587dc49805e049a8a968889d3d5,0,True,S_TO_S,BOTH_SUCCEED
