Using device: cuda
Loading dataset from intern_ship_ws/runs/tdqc_dataset/final_calibrated_3751rollouts.pt...
Processing 3751 episodes...
Loading Episodes:   0%|          | 0/3751 [00:00<?, ?it/s]Loading Episodes:  59%|█████▉    | 2208/3751 [00:00<00:00, 22069.44it/s]Loading Episodes: 100%|██████████| 3751/3751 [00:00<00:00, 17760.08it/s]
/home/redafrix/tests/intern_ship_research/intern_ship_ws/envs/simvla/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Loaded 3751 episodes.
Split sizes: 2625 train, 562 val, 564 test.
DEBUG: Splitting dataset...
DEBUG: Creating DataLoaders...
DEBUG: Computing class weights...
DEBUG: total successes=2651, failures=1100
DEBUG: Initializing model...
Resuming from intern_ship_ws/runs/tdqc_calibrator/lstm_td0_fine_tuned/last.pt...
Resuming at epoch 700 with best_val=0.106463
DEBUG: Starting training loop...
epoch=0806 train_loss=0.000592 val_seq_brier=0.101601 best=0.101137
epoch=0807 train_loss=0.000577 val_seq_brier=0.101388 best=0.101137
epoch=0808 train_loss=0.000610 val_seq_brier=0.101342 best=0.101137
epoch=0809 train_loss=0.000576 val_seq_brier=0.101126 best=0.101137
epoch=0810 train_loss=0.000620 val_seq_brier=0.101097 best=0.101126
epoch=0811 train_loss=0.000587 val_seq_brier=0.100997 best=0.101097
epoch=0812 train_loss=0.000615 val_seq_brier=0.100910 best=0.100997
epoch=0813 train_loss=0.000569 val_seq_brier=0.100907 best=0.100910
epoch=0814 train_loss=0.000637 val_seq_brier=0.100805 best=0.100907
epoch=0815 train_loss=0.000604 val_seq_brier=0.100634 best=0.100805
epoch=0816 train_loss=0.000597 val_seq_brier=0.100582 best=0.100634
epoch=0817 train_loss=0.000591 val_seq_brier=0.100476 best=0.100582
epoch=0818 train_loss=0.000570 val_seq_brier=0.100724 best=0.100476
epoch=0819 train_loss=0.000579 val_seq_brier=0.100510 best=0.100476
epoch=0820 train_loss=0.000588 val_seq_brier=0.100341 best=0.100476
epoch=0821 train_loss=0.000608 val_seq_brier=0.100661 best=0.100341
epoch=0822 train_loss=0.000580 val_seq_brier=0.100591 best=0.100341
epoch=0823 train_loss=0.000656 val_seq_brier=0.100551 best=0.100341
epoch=0824 train_loss=0.000585 val_seq_brier=0.100274 best=0.100341
epoch=0825 train_loss=0.000581 val_seq_brier=0.100260 best=0.100274
epoch=0826 train_loss=0.000636 val_seq_brier=0.100380 best=0.100260
epoch=0827 train_loss=0.000602 val_seq_brier=0.100362 best=0.100260
epoch=0828 train_loss=0.000597 val_seq_brier=0.100064 best=0.100260
epoch=0829 train_loss=0.000674 val_seq_brier=0.100212 best=0.100064
epoch=0830 train_loss=0.000713 val_seq_brier=0.100321 best=0.100064
epoch=0831 train_loss=0.000579 val_seq_brier=0.100181 best=0.100064
epoch=0832 train_loss=0.000575 val_seq_brier=0.100041 best=0.100064
epoch=0833 train_loss=0.000594 val_seq_brier=0.099821 best=0.100041
epoch=0834 train_loss=0.000587 val_seq_brier=0.099873 best=0.099821
epoch=0835 train_loss=0.000616 val_seq_brier=0.099727 best=0.099821
epoch=0836 train_loss=0.000580 val_seq_brier=0.099711 best=0.099727
epoch=0837 train_loss=0.000576 val_seq_brier=0.099676 best=0.099711
epoch=0838 train_loss=0.000613 val_seq_brier=0.099563 best=0.099676
epoch=0839 train_loss=0.000605 val_seq_brier=0.099653 best=0.099563
epoch=0840 train_loss=0.000576 val_seq_brier=0.099614 best=0.099563
epoch=0841 train_loss=0.000578 val_seq_brier=0.099642 best=0.099563
epoch=0842 train_loss=0.000578 val_seq_brier=0.099606 best=0.099563
epoch=0843 train_loss=0.000586 val_seq_brier=0.099403 best=0.099563
epoch=0844 train_loss=0.000572 val_seq_brier=0.099567 best=0.099403
epoch=0845 train_loss=0.000584 val_seq_brier=0.099486 best=0.099403
epoch=0846 train_loss=0.000579 val_seq_brier=0.099627 best=0.099403
epoch=0847 train_loss=0.000607 val_seq_brier=0.099502 best=0.099403
epoch=0848 train_loss=0.000574 val_seq_brier=0.099470 best=0.099403
epoch=0849 train_loss=0.000573 val_seq_brier=0.099608 best=0.099403
epoch=0850 train_loss=0.000582 val_seq_brier=0.099425 best=0.099403
epoch=0851 train_loss=0.000583 val_seq_brier=0.099476 best=0.099403
epoch=0852 train_loss=0.000574 val_seq_brier=0.099385 best=0.099403
epoch=0853 train_loss=0.000587 val_seq_brier=0.099163 best=0.099385
epoch=0854 train_loss=0.000583 val_seq_brier=0.098951 best=0.099163
epoch=0855 train_loss=0.000584 val_seq_brier=0.099020 best=0.098951
epoch=0856 train_loss=0.000598 val_seq_brier=0.098960 best=0.098951
epoch=0857 train_loss=0.000610 val_seq_brier=0.098738 best=0.098951
epoch=0858 train_loss=0.000667 val_seq_brier=0.098664 best=0.098738
epoch=0859 train_loss=0.000606 val_seq_brier=0.098719 best=0.098664
epoch=0860 train_loss=0.000599 val_seq_brier=0.098950 best=0.098664
epoch=0861 train_loss=0.000576 val_seq_brier=0.098510 best=0.098664
epoch=0862 train_loss=0.000618 val_seq_brier=0.098725 best=0.098510
epoch=0863 train_loss=0.000592 val_seq_brier=0.098542 best=0.098510
epoch=0864 train_loss=0.000571 val_seq_brier=0.098550 best=0.098510
epoch=0865 train_loss=0.000569 val_seq_brier=0.098323 best=0.098510
epoch=0866 train_loss=0.000571 val_seq_brier=0.098129 best=0.098323
epoch=0867 train_loss=0.000573 val_seq_brier=0.098604 best=0.098129
epoch=0868 train_loss=0.000574 val_seq_brier=0.098259 best=0.098129
epoch=0869 train_loss=0.000572 val_seq_brier=0.098389 best=0.098129
epoch=0870 train_loss=0.000584 val_seq_brier=0.097992 best=0.098129
epoch=0871 train_loss=0.000579 val_seq_brier=0.098586 best=0.097992
epoch=0872 train_loss=0.000572 val_seq_brier=0.098324 best=0.097992
epoch=0873 train_loss=0.000578 val_seq_brier=0.098204 best=0.097992
epoch=0874 train_loss=0.000576 val_seq_brier=0.098366 best=0.097992
epoch=0875 train_loss=0.000618 val_seq_brier=0.098288 best=0.097992
epoch=0876 train_loss=0.000574 val_seq_brier=0.098169 best=0.097992
epoch=0877 train_loss=0.000575 val_seq_brier=0.098655 best=0.097992
epoch=0878 train_loss=0.000597 val_seq_brier=0.097909 best=0.097992
epoch=0879 train_loss=0.000634 val_seq_brier=0.098522 best=0.097909
epoch=0880 train_loss=0.000596 val_seq_brier=0.098209 best=0.097909
epoch=0881 train_loss=0.000583 val_seq_brier=0.097646 best=0.097909
epoch=0882 train_loss=0.000570 val_seq_brier=0.097977 best=0.097646
epoch=0883 train_loss=0.000599 val_seq_brier=0.097642 best=0.097646
epoch=0884 train_loss=0.000576 val_seq_brier=0.097489 best=0.097642
epoch=0885 train_loss=0.000582 val_seq_brier=0.097380 best=0.097489
epoch=0886 train_loss=0.000655 val_seq_brier=0.097323 best=0.097380
epoch=0887 train_loss=0.000764 val_seq_brier=0.098283 best=0.097323
epoch=0888 train_loss=0.000632 val_seq_brier=0.097500 best=0.097323
epoch=0889 train_loss=0.000569 val_seq_brier=0.097533 best=0.097323
epoch=0890 train_loss=0.000565 val_seq_brier=0.097271 best=0.097323
epoch=0891 train_loss=0.000565 val_seq_brier=0.097374 best=0.097271
epoch=0892 train_loss=0.000614 val_seq_brier=0.096977 best=0.097271
epoch=0893 train_loss=0.000749 val_seq_brier=0.097374 best=0.096977
epoch=0894 train_loss=0.000688 val_seq_brier=0.096786 best=0.096977
epoch=0895 train_loss=0.000590 val_seq_brier=0.097206 best=0.096786
epoch=0896 train_loss=0.000569 val_seq_brier=0.097136 best=0.096786
epoch=0897 train_loss=0.000570 val_seq_brier=0.097040 best=0.096786
epoch=0898 train_loss=0.000570 val_seq_brier=0.097083 best=0.096786
epoch=0899 train_loss=0.000576 val_seq_brier=0.096972 best=0.096786
epoch=0900 train_loss=0.000576 val_seq_brier=0.097057 best=0.096786
epoch=0901 train_loss=0.000579 val_seq_brier=0.096830 best=0.096786
epoch=0902 train_loss=0.000571 val_seq_brier=0.096674 best=0.096786
epoch=0903 train_loss=0.000577 val_seq_brier=0.096689 best=0.096674
epoch=0904 train_loss=0.000568 val_seq_brier=0.096408 best=0.096674
epoch=0905 train_loss=0.000574 val_seq_brier=0.096502 best=0.096408
epoch=0906 train_loss=0.000581 val_seq_brier=0.096320 best=0.096408
epoch=0907 train_loss=0.000583 val_seq_brier=0.096142 best=0.096320
epoch=0908 train_loss=0.000626 val_seq_brier=0.096023 best=0.096142
epoch=0909 train_loss=0.000617 val_seq_brier=0.095994 best=0.096023
epoch=0910 train_loss=0.000606 val_seq_brier=0.095987 best=0.095994
epoch=0911 train_loss=0.000725 val_seq_brier=0.096469 best=0.095987
epoch=0912 train_loss=0.000720 val_seq_brier=0.095775 best=0.095987
epoch=0913 train_loss=0.000737 val_seq_brier=0.095424 best=0.095775
epoch=0914 train_loss=0.000601 val_seq_brier=0.095510 best=0.095424
epoch=0915 train_loss=0.000594 val_seq_brier=0.095507 best=0.095424
epoch=0916 train_loss=0.000594 val_seq_brier=0.095126 best=0.095424
epoch=0917 train_loss=0.000588 val_seq_brier=0.095285 best=0.095126
epoch=0918 train_loss=0.000615 val_seq_brier=0.095238 best=0.095126
epoch=0919 train_loss=0.000595 val_seq_brier=0.095003 best=0.095126
epoch=0920 train_loss=0.000595 val_seq_brier=0.095135 best=0.095003
epoch=0921 train_loss=0.000582 val_seq_brier=0.095143 best=0.095003
epoch=0922 train_loss=0.000589 val_seq_brier=0.095184 best=0.095003
epoch=0923 train_loss=0.000592 val_seq_brier=0.095259 best=0.095003
epoch=0924 train_loss=0.000684 val_seq_brier=0.095149 best=0.095003
epoch=0925 train_loss=0.000599 val_seq_brier=0.094981 best=0.095003
epoch=0926 train_loss=0.000588 val_seq_brier=0.094844 best=0.094981
epoch=0927 train_loss=0.000589 val_seq_brier=0.095131 best=0.094844
epoch=0928 train_loss=0.000595 val_seq_brier=0.094949 best=0.094844
epoch=0929 train_loss=0.000598 val_seq_brier=0.094936 best=0.094844
epoch=0930 train_loss=0.000629 val_seq_brier=0.094630 best=0.094844
