Using device: cuda
Loading dataset from intern_ship_ws/runs/tdqc_dataset/final_calibrated_3751rollouts.pt...
Processing 3751 episodes...
Loading Episodes:   0%|          | 0/3751 [00:00<?, ?it/s]Loading Episodes:  59%|█████▉    | 2221/3751 [00:00<00:00, 22195.63it/s]Loading Episodes: 100%|██████████| 3751/3751 [00:00<00:00, 18103.94it/s]
/home/redafrix/tests/intern_ship_research/intern_ship_ws/envs/simvla/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Loaded 3751 episodes.
Split sizes: 2625 train, 562 val, 564 test.
DEBUG: Splitting dataset...
DEBUG: Creating DataLoaders...
DEBUG: Computing class weights...
DEBUG: total successes=2651, failures=1100
DEBUG: Initializing model...
Resuming from intern_ship_ws/runs/tdqc_calibrator/lstm_td0/last.pt...
Resuming at epoch 200 with best_val=0.174967
DEBUG: Starting training loop...
epoch=0301 train_loss=0.000568 val_seq_brier=0.151477 best=0.151598
epoch=0302 train_loss=0.000574 val_seq_brier=0.151341 best=0.151477
epoch=0303 train_loss=0.000603 val_seq_brier=0.150921 best=0.151341
epoch=0304 train_loss=0.000568 val_seq_brier=0.150647 best=0.150921
epoch=0305 train_loss=0.000563 val_seq_brier=0.150446 best=0.150647
epoch=0306 train_loss=0.000583 val_seq_brier=0.150434 best=0.150446
epoch=0307 train_loss=0.000571 val_seq_brier=0.150735 best=0.150434
epoch=0308 train_loss=0.000730 val_seq_brier=0.150376 best=0.150434
epoch=0309 train_loss=0.000568 val_seq_brier=0.149657 best=0.150376
epoch=0310 train_loss=0.000587 val_seq_brier=0.150268 best=0.149657
epoch=0311 train_loss=0.000566 val_seq_brier=0.148965 best=0.149657
epoch=0312 train_loss=0.000590 val_seq_brier=0.148928 best=0.148965
epoch=0313 train_loss=0.000570 val_seq_brier=0.148596 best=0.148928
epoch=0314 train_loss=0.000577 val_seq_brier=0.148912 best=0.148596
epoch=0315 train_loss=0.000604 val_seq_brier=0.148416 best=0.148596
epoch=0316 train_loss=0.000589 val_seq_brier=0.148618 best=0.148416
epoch=0317 train_loss=0.000607 val_seq_brier=0.148056 best=0.148416
epoch=0318 train_loss=0.000596 val_seq_brier=0.148446 best=0.148056
epoch=0319 train_loss=0.000621 val_seq_brier=0.148651 best=0.148056
epoch=0320 train_loss=0.000576 val_seq_brier=0.148342 best=0.148056
epoch=0321 train_loss=0.000579 val_seq_brier=0.147921 best=0.148056
epoch=0322 train_loss=0.000570 val_seq_brier=0.147886 best=0.147921
epoch=0323 train_loss=0.000617 val_seq_brier=0.147692 best=0.147886
epoch=0324 train_loss=0.000606 val_seq_brier=0.147495 best=0.147692
epoch=0325 train_loss=0.000591 val_seq_brier=0.147526 best=0.147495
epoch=0326 train_loss=0.000594 val_seq_brier=0.147530 best=0.147495
epoch=0327 train_loss=0.000594 val_seq_brier=0.147620 best=0.147495
epoch=0328 train_loss=0.000577 val_seq_brier=0.147014 best=0.147495
epoch=0329 train_loss=0.000605 val_seq_brier=0.146860 best=0.147014
epoch=0330 train_loss=0.000583 val_seq_brier=0.146947 best=0.146860
epoch=0331 train_loss=0.000585 val_seq_brier=0.146782 best=0.146860
epoch=0332 train_loss=0.000574 val_seq_brier=0.146726 best=0.146782
epoch=0333 train_loss=0.000574 val_seq_brier=0.146268 best=0.146726
epoch=0334 train_loss=0.000591 val_seq_brier=0.146080 best=0.146268
epoch=0335 train_loss=0.000606 val_seq_brier=0.145904 best=0.146080
epoch=0336 train_loss=0.000599 val_seq_brier=0.145560 best=0.145904
epoch=0337 train_loss=0.000624 val_seq_brier=0.145071 best=0.145560
epoch=0338 train_loss=0.000608 val_seq_brier=0.146185 best=0.145071
epoch=0339 train_loss=0.000600 val_seq_brier=0.146362 best=0.145071
epoch=0340 train_loss=0.000588 val_seq_brier=0.145299 best=0.145071
epoch=0341 train_loss=0.000572 val_seq_brier=0.145083 best=0.145071
epoch=0342 train_loss=0.000574 val_seq_brier=0.144442 best=0.145071
epoch=0343 train_loss=0.000568 val_seq_brier=0.144518 best=0.144442
epoch=0344 train_loss=0.000570 val_seq_brier=0.144887 best=0.144442
epoch=0345 train_loss=0.000591 val_seq_brier=0.143963 best=0.144442
epoch=0346 train_loss=0.000668 val_seq_brier=0.143824 best=0.143963
epoch=0347 train_loss=0.000618 val_seq_brier=0.143163 best=0.143824
epoch=0348 train_loss=0.000571 val_seq_brier=0.143640 best=0.143163
epoch=0349 train_loss=0.000564 val_seq_brier=0.143544 best=0.143163
