Policy,Row_Threshold,Mass_Threshold,Success_FA,Failure_Det,Det@10,Det@25,Det@50,Mean_Time,Never,False_Alarms,Detected_Failures
q97_seen_supervised_FAle15,0.7686229944229126,0.17508124510447354,0.8951048951048951,0.9459459459459459,0.05405405405405406,0.4864864864864865,0.918918918918919,0.22293358815097944,0.05405405405405406,128,35
q97_seen_supervised_FAle10,0.7686229944229126,0.17508124510447354,0.8951048951048951,0.9459459459459459,0.05405405405405406,0.4864864864864865,0.918918918918919,0.22293358815097944,0.05405405405405406,128,35
q97_seen_supervised_FAle05,0.7686229944229126,0.17508124510447354,0.8951048951048951,0.9459459459459459,0.05405405405405406,0.4864864864864865,0.918918918918919,0.22293358815097944,0.05405405405405406,128,35
saved_original_q95_mass_0.15,0.6155413389205933,0.15,0.958041958041958,1.0,0.6216216216216216,1.0,1.0,0.07791738226520835,0.0,137,37
q95_seen_success_FA075,0.6155413389205933,0.08284725993871689,0.965034965034965,1.0,0.6486486486486487,1.0,1.0,0.0755672060019886,0.0,138,37
fixed_0.5_seen_success_FA075,0.5,0.3264732107520104,0.965034965034965,1.0,0.6756756756756757,1.0,1.0,0.07023411371237459,0.0,138,37
fixed_0.5_seen_success_FA100,0.5,0.14103089570999208,0.972027972027972,1.0,0.7567567567567568,1.0,1.0,0.061737322606887836,0.0,139,37
fixed_0.5_seen_success_FA150,0.5,0.00586262643337213,0.9790209790209791,1.0,0.8648648648648649,1.0,1.0,0.04926331013287535,0.0,140,37
q95_seen_success_FA200,0.6155413389205933,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
q95_seen_success_FA150,0.6155413389205933,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
q95_seen_success_FA100,0.6155413389205933,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
q97_seen_success_FA200,0.7686229944229126,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
q97_seen_success_FA150,0.7686229944229126,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
q97_seen_success_FA100,0.7686229944229126,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
q97_seen_success_FA075,0.7686229944229126,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
q99_seen_success_FA200,0.9665935635566711,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
q99_seen_success_FA150,0.9665935635566711,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
q99_seen_success_FA100,0.9665935635566711,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
q99_seen_success_FA075,0.9665935635566711,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
q99_seen_success_FA050,0.9665935635566711,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
q99_seen_success_FA025,0.9665935635566711,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
fixed_0.5_seen_success_FA200,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,143,37
