Policy,Row_Threshold,Mass_Threshold,Success_FA,Failure_Det,Det@10,Det@25,Det@50,Mean_Time,Never,False_Alarms,Detected_Failures
q97_seen_supervised_FAle25,0.7686229944229126,0.17508124510447354,0.8926174496644296,1.0,0.8387096774193549,1.0,1.0,0.08575235172998505,0.0,133,31
q97_seen_supervised_FAle20,0.7686229944229126,0.17508124510447354,0.8926174496644296,1.0,0.8387096774193549,1.0,1.0,0.08575235172998505,0.0,133,31
q97_seen_supervised_FAle15,0.7686229944229126,0.17508124510447354,0.8926174496644296,1.0,0.8387096774193549,1.0,1.0,0.08575235172998505,0.0,133,31
q97_seen_supervised_FAle10,0.7686229944229126,0.17508124510447354,0.8926174496644296,1.0,0.8387096774193549,1.0,1.0,0.08575235172998505,0.0,133,31
q97_seen_supervised_FAle05,0.7686229944229126,0.17508124510447354,0.8926174496644296,1.0,0.8387096774193549,1.0,1.0,0.08575235172998505,0.0,133,31
fixed_0.5_seen_success_FA025,0.5,2.258613994717596,0.8926174496644296,1.0,1.0,1.0,1.0,0.049578101659332234,0.0,133,31
q95_seen_supervised_FAle25,0.6155413389205933,0.7009972016016714,0.9194630872483222,1.0,1.0,1.0,1.0,0.0531713028382252,0.0,137,31
q95_seen_supervised_FAle20,0.6155413389205933,0.7009972016016714,0.9194630872483222,1.0,1.0,1.0,1.0,0.0531713028382252,0.0,137,31
q95_seen_supervised_FAle15,0.6155413389205933,0.7009972016016714,0.9194630872483222,1.0,1.0,1.0,1.0,0.0531713028382252,0.0,137,31
q95_seen_supervised_FAle10,0.6155413389205933,0.7009972016016714,0.9194630872483222,1.0,1.0,1.0,1.0,0.0531713028382252,0.0,137,31
q95_seen_supervised_FAle05,0.6155413389205933,0.7009972016016714,0.9194630872483222,1.0,1.0,1.0,1.0,0.0531713028382252,0.0,137,31
q97_seen_success_FA050,0.7686229944229126,0.030752652883529446,0.9328859060402684,1.0,0.9354838709677419,1.0,1.0,0.06592918567564293,0.0,139,31
fixed_0.5_seen_supervised_FAle25,0.5,1.1322565438350054,0.9328859060402684,1.0,1.0,1.0,1.0,0.03274254107957526,0.0,139,31
fixed_0.5_seen_supervised_FAle20,0.5,1.1322565438350054,0.9328859060402684,1.0,1.0,1.0,1.0,0.03274254107957526,0.0,139,31
fixed_0.5_seen_supervised_FAle15,0.5,1.1322565438350054,0.9328859060402684,1.0,1.0,1.0,1.0,0.03274254107957526,0.0,139,31
fixed_0.5_seen_supervised_FAle10,0.5,1.1322565438350054,0.9328859060402684,1.0,1.0,1.0,1.0,0.03274254107957526,0.0,139,31
fixed_0.5_seen_supervised_FAle05,0.5,1.1322565438350054,0.9328859060402684,1.0,1.0,1.0,1.0,0.03274254107957526,0.0,139,31
q95_seen_success_FA050,0.6155413389205933,0.24671691954135888,0.9463087248322147,1.0,1.0,1.0,1.0,0.031692841858775085,0.0,141,31
fixed_0.5_seen_success_FA050,0.5,0.7294259876012796,0.9463087248322147,1.0,1.0,1.0,1.0,0.029351205135451565,0.0,141,31
saved_original_q95_mass_0.15,0.6155413389205933,0.15,0.959731543624161,1.0,1.0,1.0,1.0,0.025475392627881628,0.0,143,31
q95_seen_success_FA075,0.6155413389205933,0.08284725993871689,0.9664429530201343,1.0,1.0,1.0,1.0,0.024627558641850702,0.0,144,31
fixed_0.5_seen_success_FA075,0.5,0.3264732107520104,0.9664429530201343,1.0,1.0,1.0,1.0,0.02382009770277363,0.0,144,31
fixed_0.5_seen_success_FA100,0.5,0.14103089570999208,0.9731543624161074,1.0,1.0,1.0,1.0,0.02034801566474222,0.0,145,31
fixed_0.5_seen_success_FA150,0.5,0.00586262643337213,0.9798657718120806,1.0,1.0,1.0,1.0,0.015139892607695103,0.0,146,31
q95_seen_success_FA200,0.6155413389205933,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
q95_seen_success_FA150,0.6155413389205933,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
q95_seen_success_FA100,0.6155413389205933,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
q97_seen_success_FA200,0.7686229944229126,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
q97_seen_success_FA150,0.7686229944229126,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
q97_seen_success_FA100,0.7686229944229126,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
q97_seen_success_FA075,0.7686229944229126,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
q99_seen_success_FA200,0.9665935635566711,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
q99_seen_success_FA150,0.9665935635566711,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
q99_seen_success_FA100,0.9665935635566711,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
q99_seen_success_FA075,0.9665935635566711,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
q99_seen_success_FA050,0.9665935635566711,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
q99_seen_success_FA025,0.9665935635566711,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
fixed_0.5_seen_success_FA200,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,149,31
