Policy,Kind,Param,Success_FA,Failure_Det,Det@10,Det@25,Det@50,Mean_Time,Never,False_Alarms,Detected_Failures
fixed_0.3_K15,k,15,0.8041958041958042,0.9459459459459459,0.8108108108108109,0.9459459459459459,0.9459459459459459,0.046000000000000006,0.05405405405405406,115,35
fixed_0.3_K20,k,20,0.6433566433566433,0.918918918918919,0.5675675675675675,0.8918918918918919,0.918918918918919,0.09196078431372548,0.08108108108108103,92,34
fixed_0.5_K2,k,2,0.965034965034965,1.0,0.7567567567567568,1.0,1.0,0.0645945945945946,0.0,138,37
fixed_0.5_K3,k,3,0.958041958041958,1.0,0.7027027027027027,1.0,1.0,0.07072072072072072,0.0,137,37
fixed_0.5_K5,k,5,0.9370629370629371,1.0,0.7027027027027027,1.0,1.0,0.07135135135135136,0.0,134,37
fixed_0.5_K8,k,8,0.9020979020979021,0.972972972972973,0.6756756756756757,0.972972972972973,0.972972972972973,0.07296296296296297,0.027027027027026973,129,36
fixed_0.5_K10,k,10,0.8251748251748252,0.972972972972973,0.5945945945945946,0.972972972972973,0.972972972972973,0.0887962962962963,0.027027027027026973,118,36
fixed_0.5_K15,k,15,0.6783216783216783,0.918918918918919,0.4594594594594595,0.8918918918918919,0.918918918918919,0.11058823529411764,0.08108108108108103,97,34
fixed_0.5_K20,k,20,0.5174825174825175,0.918918918918919,0.10810810810810811,0.7297297297297297,0.918918918918919,0.20049019607843138,0.08108108108108103,74,34
fixed_0.7_K2,k,2,0.9370629370629371,1.0,0.4864864864864865,0.972972972972973,1.0,0.10261261261261259,0.0,134,37
fixed_0.7_K3,k,3,0.916083916083916,0.972972972972973,0.3783783783783784,0.8378378378378378,0.972972972972973,0.13583333333333336,0.027027027027026973,131,36
fixed_0.7_K5,k,5,0.8671328671328671,0.972972972972973,0.16216216216216217,0.6756756756756757,0.9459459459459459,0.19398148148148148,0.027027027027026973,124,36
fixed_0.7_K8,k,8,0.7692307692307693,0.918918918918919,0.08108108108108109,0.5405405405405406,0.8918918918918919,0.22362745098039216,0.08108108108108103,110,34
fixed_0.7_K10,k,10,0.7132867132867133,0.918918918918919,0.08108108108108109,0.5135135135135135,0.8918918918918919,0.2257843137254902,0.08108108108108103,102,34
fixed_0.7_K15,k,15,0.5384615384615384,0.918918918918919,0.08108108108108109,0.43243243243243246,0.8918918918918919,0.23980392156862748,0.08108108108108103,77,34
fixed_0.7_K20,k,20,0.3776223776223776,0.918918918918919,0.08108108108108109,0.43243243243243246,0.8918918918918919,0.24156862745098043,0.08108108108108103,54,34
q95_mass_0.02,mass,0.02,0.972027972027972,1.0,0.7027027027027027,1.0,1.0,0.07261261261261263,0.0,139,37
q95_mass_0.05,mass,0.05,0.972027972027972,1.0,0.6756756756756757,1.0,1.0,0.0772072072072072,0.0,139,37
q95_mass_0.1,mass,0.1,0.965034965034965,1.0,0.6216216216216216,1.0,1.0,0.07900900900900899,0.0,138,37
q95_mass_0.15,mass,0.15,0.958041958041958,1.0,0.6216216216216216,1.0,1.0,0.08099099099099098,0.0,137,37
q95_mass_0.2,mass,0.2,0.9440559440559441,1.0,0.5945945945945946,1.0,1.0,0.08612612612612612,0.0,135,37
q95_mass_0.3,mass,0.3,0.9440559440559441,1.0,0.5135135135135135,1.0,1.0,0.1017117117117117,0.0,135,37
q95_mass_0.5,mass,0.5,0.9300699300699301,1.0,0.4864864864864865,0.9459459459459459,1.0,0.10702702702702704,0.0,133,37
q95_mass_0.75,mass,0.75,0.916083916083916,1.0,0.2972972972972973,0.8918918918918919,1.0,0.1463063063063063,0.0,131,37
q95_mass_1,mass,1,0.8951048951048951,0.9459459459459459,0.21621621621621623,0.7567567567567568,0.9459459459459459,0.17561904761904765,0.05405405405405406,128,35
q95_mass_1.25,mass,1.25,0.8741258741258742,0.9459459459459459,0.1891891891891892,0.6216216216216216,0.9459459459459459,0.19133333333333333,0.05405405405405406,125,35
q95_mass_1.5,mass,1.5,0.8601398601398601,0.9459459459459459,0.05405405405405406,0.5135135135135135,0.9459459459459459,0.20866666666666664,0.05405405405405406,123,35
q95_mass_2,mass,2,0.8461538461538461,0.9459459459459459,0.02702702702702703,0.43243243243243246,0.918918918918919,0.22904761904761908,0.05405405405405406,121,35
q95_mass_3,mass,3,0.7762237762237763,0.918918918918919,0.02702702702702703,0.2702702702702703,0.8918918918918919,0.2477450980392157,0.08108108108108103,111,34
q95_mass_5,mass,5,0.6223776223776224,0.918918918918919,0.02702702702702703,0.16216216216216217,0.8918918918918919,0.2786274509803922,0.08108108108108103,89,34
q95_mass_7.5,mass,7.5,0.46153846153846156,0.918918918918919,0.02702702702702703,0.13513513513513514,0.8918918918918919,0.3036274509803922,0.08108108108108103,66,34
q95_mass_10,mass,10,0.3356643356643357,0.918918918918919,0.02702702702702703,0.13513513513513514,0.8648648648648649,0.3380392156862745,0.08108108108108103,48,34
q95_mass_15,mass,15,0.21678321678321677,0.918918918918919,0.0,0.10810810810810811,0.8648648648648649,0.3891176470588235,0.08108108108108103,31,34
q95_mass_20,mass,20,0.1888111888111888,0.918918918918919,0.0,0.0,0.8378378378378378,0.43666666666666665,0.08108108108108103,27,34
q95_mass_25,mass,25,0.17482517482517482,0.918918918918919,0.0,0.0,0.7567567567567568,0.48147058823529415,0.08108108108108103,25,34
q95_mass_30,mass,30,0.15384615384615385,0.8918918918918919,0.0,0.0,0.24324324324324326,0.515050505050505,0.10810810810810811,22,33
q95_mass_40,mass,40,0.013986013986013986,0.8378378378378378,0.0,0.0,0.10810810810810811,0.5923655913978494,0.16216216216216217,2,31
q95_mass_50,mass,50,0.0,0.8378378378378378,0.0,0.0,0.0,0.6929032258064515,0.16216216216216217,0,31
q95_mass_75,mass,75,0.0,0.6756756756756757,0.0,0.0,0.0,0.8937333333333334,0.32432432432432434,0,25
q95_mass_100,mass,100,0.0,0.08108108108108109,0.0,0.0,0.0,0.9788888888888888,0.9189189189189189,0,3
q95_mass_150,mass,150,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
q95_mass_200,mass,200,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
q99_mass_0.02,mass,0.02,0.6083916083916084,0.918918918918919,0.02702702702702703,0.24324324324324326,0.8918918918918919,0.2681372549019608,0.08108108108108103,87,34
q99_mass_0.05,mass,0.05,0.5874125874125874,0.8918918918918919,0.02702702702702703,0.16216216216216217,0.8648648648648649,0.28767676767676764,0.10810810810810811,84,33
q99_mass_0.1,mass,0.1,0.5524475524475524,0.8918918918918919,0.02702702702702703,0.13513513513513514,0.8648648648648649,0.29656565656565653,0.10810810810810811,79,33
q99_mass_0.15,mass,0.15,0.5174825174825175,0.8918918918918919,0.02702702702702703,0.13513513513513514,0.8648648648648649,0.30434343434343436,0.10810810810810811,74,33
q99_mass_0.2,mass,0.2,0.46153846153846156,0.8918918918918919,0.02702702702702703,0.13513513513513514,0.8648648648648649,0.3129292929292929,0.10810810810810811,66,33
q99_mass_0.3,mass,0.3,0.38461538461538464,0.8648648648648649,0.02702702702702703,0.10810810810810811,0.8648648648648649,0.3169791666666667,0.1351351351351351,55,32
q99_mass_0.5,mass,0.5,0.2727272727272727,0.8648648648648649,0.0,0.10810810810810811,0.8378378378378378,0.3414583333333333,0.1351351351351351,39,32
q99_mass_0.75,mass,0.75,0.22377622377622378,0.8648648648648649,0.0,0.08108108108108109,0.7837837837837838,0.3761458333333334,0.1351351351351351,32,32
q99_mass_1,mass,1,0.1888111888111888,0.8648648648648649,0.0,0.05405405405405406,0.7567567567567568,0.4116666666666666,0.1351351351351351,27,32
q99_mass_1.25,mass,1.25,0.16083916083916083,0.8648648648648649,0.0,0.0,0.7297297297297297,0.4464583333333333,0.1351351351351351,23,32
q99_mass_1.5,mass,1.5,0.13286713286713286,0.8378378378378378,0.0,0.0,0.6216216216216216,0.4797849462365592,0.16216216216216217,19,31
q99_mass_2,mass,2,0.013986013986013986,0.8378378378378378,0.0,0.0,0.2702702702702703,0.5480645161290323,0.16216216216216217,2,31
q99_mass_3,mass,3,0.0,0.7297297297297297,0.0,0.0,0.05405405405405406,0.6634567901234567,0.2702702702702703,0,27
q99_mass_5,mass,5,0.0,0.40540540540540543,0.0,0.0,0.0,0.8144444444444445,0.5945945945945945,0,15
q99_mass_7.5,mass,7.5,0.0,0.02702702702702703,0.0,0.0,0.0,0.9133333333333333,0.972972972972973,0,1
q99_mass_10,mass,10,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
q99_mass_15,mass,15,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
q99_mass_20,mass,20,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
q99_mass_25,mass,25,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
q99_mass_30,mass,30,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
q99_mass_40,mass,40,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
q99_mass_50,mass,50,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
q99_mass_75,mass,75,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
q99_mass_100,mass,100,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
q99_mass_150,mass,150,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
q99_mass_200,mass,200,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
fixed_0.3_mass_0.02,mass,0.02,1.0,1.0,0.918918918918919,1.0,1.0,0.040360360360360364,0.0,143,37
fixed_0.3_mass_0.05,mass,0.05,0.993006993006993,1.0,0.918918918918919,1.0,1.0,0.04198198198198198,0.0,142,37
fixed_0.3_mass_0.1,mass,0.1,0.986013986013986,1.0,0.918918918918919,1.0,1.0,0.04306306306306307,0.0,141,37
fixed_0.3_mass_0.15,mass,0.15,0.986013986013986,1.0,0.918918918918919,1.0,1.0,0.04414414414414416,0.0,141,37
fixed_0.3_mass_0.2,mass,0.2,0.9790209790209791,1.0,0.918918918918919,1.0,1.0,0.04513513513513513,0.0,140,37
fixed_0.3_mass_0.3,mass,0.3,0.9790209790209791,1.0,0.8648648648648649,1.0,1.0,0.04765765765765766,0.0,140,37
fixed_0.3_mass_0.5,mass,0.5,0.9790209790209791,1.0,0.8648648648648649,1.0,1.0,0.04954954954954955,0.0,140,37
fixed_0.3_mass_0.75,mass,0.75,0.972027972027972,1.0,0.8378378378378378,1.0,1.0,0.05369369369369369,0.0,139,37
fixed_0.3_mass_1,mass,1,0.972027972027972,1.0,0.8108108108108109,1.0,1.0,0.059189189189189174,0.0,139,37
fixed_0.3_mass_1.25,mass,1.25,0.972027972027972,1.0,0.7837837837837838,1.0,1.0,0.06225225225225224,0.0,139,37
fixed_0.3_mass_1.5,mass,1.5,0.972027972027972,1.0,0.7027027027027027,1.0,1.0,0.06720720720720721,0.0,139,37
fixed_0.3_mass_2,mass,2,0.965034965034965,1.0,0.6756756756756757,1.0,1.0,0.07234234234234234,0.0,138,37
fixed_0.3_mass_3,mass,3,0.9370629370629371,1.0,0.5675675675675675,0.972972972972973,1.0,0.08909909909909909,0.0,134,37
fixed_0.3_mass_5,mass,5,0.9020979020979021,0.9459459459459459,0.5135135135135135,0.8648648648648649,0.9459459459459459,0.10838095238095237,0.05405405405405406,129,35
fixed_0.3_mass_7.5,mass,7.5,0.8321678321678322,0.918918918918919,0.10810810810810811,0.8108108108108109,0.918918918918919,0.15333333333333335,0.08108108108108103,119,34
fixed_0.3_mass_10,mass,10,0.7692307692307693,0.918918918918919,0.02702702702702703,0.8108108108108109,0.918918918918919,0.18607843137254906,0.08108108108108103,110,34
fixed_0.3_mass_15,mass,15,0.5944055944055944,0.918918918918919,0.02702702702702703,0.43243243243243246,0.918918918918919,0.24882352941176467,0.08108108108108103,85,34
fixed_0.3_mass_20,mass,20,0.44755244755244755,0.918918918918919,0.02702702702702703,0.1891891891891892,0.8918918918918919,0.28107843137254895,0.08108108108108103,64,34
fixed_0.3_mass_25,mass,25,0.38461538461538464,0.918918918918919,0.0,0.10810810810810811,0.8918918918918919,0.31039215686274507,0.08108108108108103,55,34
fixed_0.3_mass_30,mass,30,0.2867132867132867,0.918918918918919,0.0,0.10810810810810811,0.8918918918918919,0.33529411764705885,0.08108108108108103,41,34
fixed_0.3_mass_40,mass,40,0.23076923076923078,0.918918918918919,0.0,0.0,0.8648648648648649,0.39715686274509804,0.08108108108108103,33,34
fixed_0.3_mass_50,mass,50,0.17482517482517482,0.918918918918919,0.0,0.0,0.8108108108108109,0.4465686274509804,0.08108108108108103,25,34
fixed_0.3_mass_75,mass,75,0.055944055944055944,0.8918918918918919,0.0,0.0,0.10810810810810811,0.5704040404040405,0.10810810810810811,8,33
fixed_0.3_mass_100,mass,100,0.0,0.8378378378378378,0.0,0.0,0.0,0.6739784946236557,0.16216216216216217,0,31
fixed_0.3_mass_150,mass,150,0.0,0.7297297297297297,0.0,0.0,0.0,0.9077777777777777,0.2702702702702703,0,27
fixed_0.3_mass_200,mass,200,0.0,0.0,0.0,0.0,0.0,,1.0,0,0
fixed_0.5_mass_0.02,mass,0.02,0.9790209790209791,1.0,0.8378378378378378,1.0,1.0,0.05621621621621622,0.0,140,37
fixed_0.5_mass_0.05,mass,0.05,0.9790209790209791,1.0,0.8108108108108109,1.0,1.0,0.057027027027027034,0.0,140,37
fixed_0.5_mass_0.1,mass,0.1,0.9790209790209791,1.0,0.7567567567567568,1.0,1.0,0.06387387387387389,0.0,140,37
fixed_0.5_mass_0.15,mass,0.15,0.972027972027972,1.0,0.7567567567567568,1.0,1.0,0.06513513513513514,0.0,139,37
fixed_0.5_mass_0.2,mass,0.2,0.972027972027972,1.0,0.7297297297297297,1.0,1.0,0.06612612612612613,0.0,139,37
fixed_0.5_mass_0.3,mass,0.3,0.965034965034965,1.0,0.7027027027027027,1.0,1.0,0.07027027027027025,0.0,138,37
fixed_0.5_mass_0.5,mass,0.5,0.958041958041958,1.0,0.6216216216216216,1.0,1.0,0.08306306306306306,0.0,137,37
fixed_0.5_mass_0.75,mass,0.75,0.9440559440559441,1.0,0.5675675675675675,1.0,1.0,0.08684684684684685,0.0,135,37
fixed_0.5_mass_1,mass,1,0.9440559440559441,1.0,0.5405405405405406,1.0,1.0,0.0927927927927928,0.0,135,37
fixed_0.5_mass_1.25,mass,1.25,0.9300699300699301,1.0,0.5135135135135135,0.972972972972973,1.0,0.09990990990990993,0.0,133,37
fixed_0.5_mass_1.5,mass,1.5,0.916083916083916,0.972972972972973,0.4594594594594595,0.918918918918919,0.972972972972973,0.10935185185185184,0.027027027027026973,131,36
fixed_0.5_mass_2,mass,2,0.8951048951048951,0.9459459459459459,0.3783783783783784,0.8648648648648649,0.9459459459459459,0.12942857142857145,0.05405405405405406,128,35
fixed_0.5_mass_3,mass,3,0.8531468531468531,0.9459459459459459,0.16216216216216217,0.7567567567567568,0.9459459459459459,0.1763809523809524,0.05405405405405406,122,35
fixed_0.5_mass_5,mass,5,0.7832167832167832,0.918918918918919,0.02702702702702703,0.4594594594594595,0.918918918918919,0.2283333333333333,0.08108108108108103,112,34
