campaign,job,policy,model,best_epoch,epochs_run,uses_object_positions_before,uses_reward,uses_success,uses_task_metadata,uses_ood_rows_for_train,seen_success_fa,ood_success_fa,seen_fail_det,seen_fail_det25,seen_fail_mean_time,ood_fail_det,ood_fail_det10,ood_fail_det25,ood_fail_det50,ood_fail_mean_time,ood_fail_never,balanced_score
target_object_fold01,clean_041_tcn_k16_no_current_proprio,and_q95_K3,seq_tcn,3,23,False,False,False,False,False,0.10606060606060606,0.24528301886792453,0.8260869565217391,0.2608695652173913,0.39842105263157895,0.975,0.0,0.1,0.5,0.48025641025641036,0.025000000000000022,0.7290451686678102
target_object_fold01,clean_041_tcn_k8_no_current_proprio,score_q95_K3,seq_tcn,3,23,False,False,False,False,False,0.21212121212121213,0.5377358490566038,1.0,0.5217391304347826,0.29637681159420287,1.0,0.225,0.525,0.975,0.2355833333333333,0.0,1.1373356203544882
target_object_fold01,clean_041_tcn_k8_no_current_proprio,score_q99_K3,seq_tcn,3,23,False,False,False,False,False,0.03787878787878788,0.014150943396226415,0.7391304347826086,0.13043478260869565,0.3856862745098039,0.75,0.0,0.0,0.35,0.5626666666666666,0.25,0.45983419096626643
target_object_fold01,clean_041_tcn_k8_no_current_proprio,score_q95_K5,seq_tcn,3,23,False,False,False,False,False,0.15151515151515152,0.3867924528301887,1.0,0.4782608695652174,0.30898550724637686,0.975,0.125,0.325,0.85,0.31478632478632484,0.025000000000000022,0.9440537449971411
target_object_fold01,clean_041_tcn_k8_no_current_proprio,or_q95_K3,seq_tcn,3,23,False,False,False,False,False,0.3939393939393939,0.8018867924528302,1.0,0.6086956521739131,0.2589855072463768,1.0,0.225,0.7,1.0,0.21224999999999997,0.0,1.0002001143510575
target_object_fold01,clean_041_tcn_k8_no_current_proprio,or_q99_K3,seq_tcn,3,23,False,False,False,False,False,0.09848484848484848,0.16981132075471697,0.9130434782608695,0.30434782608695654,0.38238095238095243,0.925,0.0,0.1,0.6,0.4666666666666666,0.07499999999999996,0.7460405946255003
target_object_fold01,clean_041_tcn_k8_no_current_proprio,and_q95_K3,seq_tcn,3,23,False,False,False,False,False,0.09090909090909091,0.19811320754716982,0.8260869565217391,0.21739130434782608,0.4263157894736842,1.0,0.0,0.15,0.675,0.42041666666666666,0.0,0.9573756432247
target_object_fold01,clean_041_tcn_k8_with_current_proprio,score_q95_K3,seq_tcn,5,25,False,False,False,False,False,0.1893939393939394,0.5613207547169812,1.0,0.5217391304347826,0.2818840579710145,1.0,0.25,0.725,1.0,0.22633333333333336,0.0,1.5133218982275587
target_object_fold01,clean_041_tcn_k8_with_current_proprio,score_q99_K3,seq_tcn,5,25,False,False,False,False,False,0.06818181818181818,0.02830188679245283,0.8695652173913043,0.17391304347826086,0.37016666666666664,0.85,0.0,0.0,0.575,0.4544117647058824,0.15000000000000002,0.6234562607204116
target_object_fold01,clean_041_tcn_k8_with_current_proprio,score_q95_K5,seq_tcn,5,25,False,False,False,False,False,0.14393939393939395,0.3915094339622642,1.0,0.5217391304347826,0.2943478260869565,1.0,0.075,0.625,0.875,0.28558333333333336,0.0,1.5907661520869067
target_object_fold01,clean_041_tcn_k8_with_current_proprio,or_q95_K3,seq_tcn,5,25,False,False,False,False,False,0.3939393939393939,0.8066037735849056,1.0,0.6086956521739131,0.24608695652173915,1.0,0.25,0.775,1.0,0.21191666666666667,0.0,1.1431246426529442
target_object_fold01,clean_041_tcn_k8_with_current_proprio,or_q99_K3,seq_tcn,5,25,False,False,False,False,False,0.12121212121212122,0.17452830188679244,0.9565217391304348,0.34782608695652173,0.3333333333333333,0.975,0.0,0.1,0.775,0.3859829059829061,0.025000000000000022,0.8276014865637508
target_object_fold01,clean_041_tcn_k8_with_current_proprio,and_q95_K3,seq_tcn,5,25,False,False,False,False,False,0.07575757575757576,0.19811320754716982,0.8260869565217391,0.21739130434782608,0.42333333333333334,1.0,0.0,0.3,0.75,0.3795,0.0,1.2649514008004574
